cluster	gene
ALZ	ABHD16A
ALZ	ACP1
ALZ	ADAM10
ALZ	ADAMTS14
ALZ	ADH1A
ALZ	ADH1B
ALZ	ADH1C
ALZ	AGBL2
ALZ	AGXT2
ALZ	AKNAD1
ALZ	ALPK2
ALZ	ANK3
ALZ	ANKH
ALZ	AP1S1
ALZ	AP2A2
ALZ	APOC1
ALZ	APOC1P1
ALZ	APOC2
ALZ	APOC4-APOC2
ALZ	APOE
ALZ	AREL1
ALZ	ARL17A
ALZ	ARMC3
ALZ	ATG5
ALZ	ATP8B4
ALZ	AURKA
ALZ	AVL9
ALZ	B4GALT7
ALZ	BANF2
ALZ	BCAM
ALZ	BCL10
ALZ	BCL3
ALZ	BIN1
ALZ	BLOC1S3
ALZ	BTBD16
ALZ	BZRAP1
ALZ	BZRAP1-AS1
ALZ	C17orf107
ALZ	C1orf141
ALZ	C1orf227
ALZ	C1orf52
ALZ	C1QBP
ALZ	C1QTNF4
ALZ	C1R
ALZ	C1S
ALZ	C2orf40
ALZ	C3orf27
ALZ	C6orf25
ALZ	C7orf43
ALZ	C7orf60
ALZ	CACNA1C
ALZ	CACNA1C-AS1
ALZ	CALCRL
ALZ	CAMK4
ALZ	CASS4
ALZ	CBLC
ALZ	CCDC102B
ALZ	CCDC116
ALZ	CCDC158
ALZ	CCDC83
ALZ	CCNT1
ALZ	CCNY
ALZ	CD151
ALZ	CD2AP
ALZ	CD33
ALZ	CD46
ALZ	CDK1
ALZ	CEACAM16
ALZ	CEACAM19
ALZ	CEACAM22P
ALZ	CEL
ALZ	CELF1
ALZ	CHID1
ALZ	CHL1
ALZ	CHRNA2
ALZ	CHRNE
ALZ	CKAP5
ALZ	CLASRP
ALZ	CLCC1
ALZ	CLCN1
ALZ	CLEC16A
ALZ	CLIC1
ALZ	CLPTM1
ALZ	CLU
ALZ	CMTM7
ALZ	CMTM8
ALZ	CNTN5
ALZ	COX7A2L
ALZ	CR1
ALZ	CR1L
ALZ	CR2
ALZ	CRMP1
ALZ	CSMD1
ALZ	CSTF1
ALZ	CYSTM1
ALZ	DDAH1
ALZ	DDAH2
ALZ	DDX41
ALZ	DERL3
ALZ	DHX33
ALZ	DLST
ALZ	DMPK
ALZ	DMWD
ALZ	DNAH17
ALZ	DNAH17-AS1
ALZ	DNAH3
ALZ	DND1
ALZ	DNTT
ALZ	DOK3
ALZ	DPH6-AS1
ALZ	DPY19L1P1
ALZ	DTWD1
ALZ	ECHDC3
ALZ	EFCAB13
ALZ	EFCAB4A
ALZ	EFTUD1
ALZ	ELL
ALZ	ELMO1
ALZ	EML2
ALZ	EML4
ALZ	EML5
ALZ	ENO3
ALZ	EPG5
ALZ	EPHA1
ALZ	EPHA1-AS1
ALZ	EPHX2
ALZ	EPS8L1
ALZ	EXOC3
ALZ	EXOC3L2
ALZ	F2
ALZ	FAM105B
ALZ	FAM114A1
ALZ	FAM131B
ALZ	FAM150B
ALZ	FAM154B
ALZ	FAM180B
ALZ	FAM193B
ALZ	FAM19A2
ALZ	FAM203A
ALZ	FAM210B
ALZ	FAM227B
ALZ	FAM47E
ALZ	FAM47E-STBD1
ALZ	FAM63B
ALZ	FBXO46
ALZ	FCF1
ALZ	FERMT2
ALZ	FKBP1A
ALZ	FKBP1A-SDCBP2
ALZ	FKBP8
ALZ	FLVCR1
ALZ	FLVCR1-AS1
ALZ	FNBP4
ALZ	FSCN1
ALZ	FTLP10
ALZ	GAL3ST4
ALZ	GATS
ALZ	GDF15
ALZ	GEMIN7
ALZ	GFI1B
ALZ	GIPR
ALZ	GP1BA
ALZ	GP6
ALZ	GPC2
ALZ	GPR111
ALZ	GPR115
ALZ	GPR87
ALZ	GPRC5B
ALZ	GPSM2
ALZ	GRIA1
ALZ	GRID2
ALZ	GTF3C5
ALZ	GUCY2EP
ALZ	HARS
ALZ	HARS2
ALZ	HBEGF
ALZ	HLA-DQA1
ALZ	HLA-DQB1
ALZ	HLA-DRA
ALZ	HLA-DRB1
ALZ	HLA-DRB5
ALZ	HLA-DRB6
ALZ	HLX
ALZ	HMGA1P7
ALZ	IDH2
ALZ	IGIP
ALZ	IGSF23
ALZ	IK
ALZ	IKZF1
ALZ	IL10
ALZ	IL15
ALZ	IL19
ALZ	IL34
ALZ	INPP5K
ALZ	IQCK
ALZ	ISYNA1
ALZ	ITGB3
ALZ	KANSL2
ALZ	KBTBD4
ALZ	KCNIP1
ALZ	KCTD16
ALZ	KIAA0947
ALZ	KIF21B
ALZ	KLRAP1
ALZ	KPNA7
ALZ	KPNB1
ALZ	KXD1
ALZ	L3MBTL4
ALZ	LACE1
ALZ	LACTB2
ALZ	LAMTOR4
ALZ	LINC00210
ALZ	LINC00651
ALZ	LINC00927
ALZ	LINC00935
ALZ	LIPC
ALZ	LIPG
ALZ	LOC100129534
ALZ	LOC100130357
ALZ	LOC100130744
ALZ	LOC100130950
ALZ	LOC100287177
ALZ	LOC100505636
ALZ	LOC100506023
ALZ	LOC100507053
ALZ	LOC221122
ALZ	LOC284889
ALZ	LOC286190
ALZ	LOC388553
ALZ	LOC390660
ALZ	LOC441025
ALZ	LOC550112
ALZ	LOC646626
ALZ	LPCAT3
ALZ	LPO
ALZ	LRRC25
ALZ	LRRC37A
ALZ	LTBP2
ALZ	LY6G6C
ALZ	LY6G6D
ALZ	LY6G6E
ALZ	LY6G6F
ALZ	MADD
ALZ	MAGOHB
ALZ	MAPKAPK2
ALZ	MARK4
ALZ	MCF2L
ALZ	MCF2L-AS1
ALZ	MED12L
ALZ	MGAT5
ALZ	MIF
ALZ	MINK1
ALZ	MIR122
ALZ	MIR130B
ALZ	MIR1322
ALZ	MIR142
ALZ	MIR301B
ALZ	MIR3189
ALZ	MIR330
ALZ	MIR3591
ALZ	MIR378D1
ALZ	MIR4456
ALZ	MIR4531
ALZ	MIR4646
ALZ	MIR4653
ALZ	MIR4658
ALZ	MIR4736
ALZ	MIR5191
ALZ	MIR5582
ALZ	MIR642A
ALZ	MIR642B
ALZ	MLPH
ALZ	MOGAT3
ALZ	MORN1
ALZ	MPO
ALZ	MROH1
ALZ	MS4A14
ALZ	MS4A2
ALZ	MS4A3
ALZ	MS4A4A
ALZ	MS4A6A
ALZ	MS4A6E
ALZ	MSH5-SAPCD1
ALZ	MTAP
ALZ	MTCH2
ALZ	MTIF3
ALZ	MTSS1L
ALZ	MUC6
ALZ	MYBPC3
ALZ	MYCL1
ALZ	MYH16
ALZ	MYO1C
ALZ	MYT1L
ALZ	NAT16
ALZ	NAV1
ALZ	NDUFAF6
ALZ	NDUFAF7
ALZ	NDUFS3
ALZ	NECAB1
ALZ	NKPD1
ALZ	NLRP13
ALZ	NLRP2
ALZ	NLRP4
ALZ	NLRP8
ALZ	NME8
ALZ	NPEPPS
ALZ	NR1H3
ALZ	NRG1
ALZ	NSL1
ALZ	NUP160
ALZ	NUP88
ALZ	OAS1
ALZ	OAS2
ALZ	OAS3
ALZ	OPALIN
ALZ	OSBPL10
ALZ	OSBPL10-AS1
ALZ	P2RY14
ALZ	PAPSS1
ALZ	PARK2
ALZ	PCDH9
ALZ	PCDHA1
ALZ	PCDHA10
ALZ	PCDHA11
ALZ	PCDHA12
ALZ	PCDHA13
ALZ	PCDHA2
ALZ	PCDHA3
ALZ	PCDHA4
ALZ	PCDHA5
ALZ	PCDHA6
ALZ	PCDHA7
ALZ	PCDHA8
ALZ	PCDHA9
ALZ	PDE4B
ALZ	PDLIM7
ALZ	PFDN1
ALZ	PFN1
ALZ	PGF
ALZ	PGPEP1
ALZ	PHACTR1
ALZ	PHB
